,Feature,G_value_goldman,Gw_value_goldman,G_value_jpmorgan,Gw_value_jpmorgan,G_value_morganstanley,Gw_value_morganstanley
0,number_nodes,63.0,63.0,51.0,51.0,61.0,61.0
1,number_edges,40.0,40.0,29.0,29.0,38.0,38.0
2,edges_weight_sum,40.0,4003781833.0,29.0,1063803427.0,38.0,661766372324.0
3,degree_mean,1.27,1.27,1.14,1.14,1.25,1.25
4,degree_max,3.0,3.0,3.0,3.0,2.0,2.0
5,degree_min,1.0,1.0,1.0,1.0,1.0,1.0
6,indegree_mean,0.63,0.63,0.57,0.57,0.62,0.62
7,indegree_max,1.0,1.0,2.0,2.0,1.0,1.0
8,indegree_min,0.0,0.0,0.0,0.0,0.0,0.0
9,outdegree_mean,0.63,0.63,0.57,0.57,0.62,0.62
10,outdegree_max,2.0,2.0,2.0,2.0,2.0,2.0
11,outdegree_min,0.0,0.0,0.0,0.0,0.0,0.0
12,closeness_centrality_mean,0.01,0.01,0.01,0.01,0.01,0.01
13,closeness_centrality_max,0.02,0.02,0.04,0.04,0.02,0.02
14,closeness_centrality_min,0.0,0.0,0.0,0.0,0.0,0.0
15,eigenvector_centrality_mean,0.0,0.02,0.01,0.0,0.0,0.0
16,eigenvector_centrality_max,0.6,0.57,0.62,0.38,0.65,0.46
17,eigenvector_centrality_min,-0.62,-0.37,-0.62,-0.79,-0.35,-0.55
18,pagerank_mean,0.02,0.02,0.02,0.02,0.02,0.02
19,pagerank_max,0.04,0.04,0.07,0.07,0.04,0.04
20,pagerank_min,0.01,0.01,0.01,0.01,0.01,0.01
21,transitivity,0.0,0.0,0.0,0.0,0.0,0.0
22,density,0.01,0.01,0.01,0.01,0.01,0.01
23,overall_reciprocity,0.0,0.0,0.0,0.0,0.0,0.0
24,wiener_index,inf,inf,inf,inf,inf,inf
25,global_efficiency_F,0.01,0.01,0.02,0.02,0.01,0.01
26,global_efficiency_T,0.0,0.0,0.0,0.0,0.0,0.0
27,local_efficiency_F,0.02,0.02,0.02,0.02,0.0,0.0
28,local_efficiency_T,0.0,0.0,0.0,0.0,0.0,0.0
29,cycle_basis_F,14.0,14.0,5.0,5.0,13.0,13.0
30,cycle_basis_T,14.0,14.0,5.0,5.0,13.0,13.0
31,triad_003,38127.0,38127.0,19650.0,19650.0,34517.0,34517.0
32,triad_012,1582.0,1582.0,1174.0,1174.0,1471.0,1471.0
33,triad_102,0.0,0.0,0.0,0.0,0.0,0.0
34,triad_021D,2.0,2.0,0.0,0.0,2.0,2.0
35,triad_021U,0.0,0.0,1.0,1.0,0.0,0.0
36,triad_021C,0.0,0.0,0.0,0.0,0.0,0.0
37,triad_111D,0.0,0.0,0.0,0.0,0.0,0.0
38,triad_111U,0.0,0.0,0.0,0.0,0.0,0.0
39,triad_030T,0.0,0.0,0.0,0.0,0.0,0.0
40,triad_030C,0.0,0.0,0.0,0.0,0.0,0.0
41,triad_201,0.0,0.0,0.0,0.0,0.0,0.0
42,triad_120D,0.0,0.0,0.0,0.0,0.0,0.0
43,triad_120U,0.0,0.0,0.0,0.0,0.0,0.0
44,triad_120C,0.0,0.0,0.0,0.0,0.0,0.0
45,triad_210,0.0,0.0,0.0,0.0,0.0,0.0
46,triad_300,0.0,0.0,0.0,0.0,0.0,0.0
